equilibrium,n_i,n_j,FC,player,action,probability
0,0,2,3,2,3,0.0021432895488447583
0,0,2,3,1,4,0.0002900626981509772
0,0,2,3,2,4,0.0002900626981509772
0,0,2,3,1,5,3.9255717410638595e-05
0,0,2,3,2,5,3.9255717410638595e-05
0,0,2,3,1,6,5.312683634425202e-06
0,0,2,3,2,6,5.312683634425202e-06
0,0,2,3,1,7,7.189935444114517e-07
0,0,2,3,2,7,7.189935444114517e-07
0,0,2,3,1,8,9.730519497821987e-08
0,0,2,3,2,8,9.730519497821987e-08
0,0,2,3,1,9,1.316882612277121e-08
0,0,2,3,2,9,1.316882612277121e-08
0,0,2,3,1,10,1.7822068132189457e-09
0,0,2,3,2,10,1.7822068132189457e-09
0,0,2,3,1,11,2.411954638532069e-10
0,0,2,3,2,11,2.411954638532069e-10
0,0,2,4,1,0,0.9502129316321365
0,0,2,4,2,0,0.9502129316321365
0,0,2,4,1,1,0.0473083161911976
0,0,2,4,2,1,0.0473083161911976
0,0,2,4,1,2,0.00235534237257968
0,0,2,4,2,2,0.00235534237257968
0,0,2,4,1,3,0.0001172655917333514
0,0,2,4,2,3,0.0001172655917333514
0,0,2,4,1,4,5.838310032826386e-06
0,0,2,4,2,4,5.838310032826386e-06
0,0,2,4,1,5,2.9067234075711327e-07
0,0,2,4,2,5,2.9067234075711327e-07
0,0,2,4,1,6,1.4471723701921445e-08
0,0,2,4,2,6,1.4471723701921445e-08
0,0,2,4,1,7,7.205046973484e-10
0,0,2,4,2,7,7.205046973484e-10
0,0,2,4,1,8,3.587181662625191e-11
0,0,2,4,2,8,3.587181662625191e-11
0,0,2,4,1,9,1.7859525868506822e-12
0,0,2,4,2,9,1.7859525868506822e-12
0,0,2,4,1,10,8.891734354329838e-14
0,0,2,4,2,10,8.891734354329838e-14
0,0,2,4,1,11,4.4269338620790425e-15
0,0,2,4,2,11,4.4269338620790425e-15
0,0,2,5,1,0,0.9816843611112658
0,0,2,5,2,0,0.9816843611112658
0,0,2,5,1,1,0.017980176260831666
